"","lat","long"
"1",31,121
"2",31,104
"3",30,107
"4",23,104
"5",29,116
"6",0,0
"7",23,114
"8",35,114
"10",26,119
"11",40,107
"13",35,118
"17",25,118
"18",36,111
"20",43,130
"22",34,116
"23",24,114
"24",44,88
"25",32,120
"26",39,122
"27",47,132
"28",35,117
"29",28,118
"31",34,109
"32",40,116
"33",23,113
"36",34,114
"37",38,115
"38",31,114
"41",35,115
"42",23,112
"44",28,113
"45",27,120
"49",31,122
"50",27,115
"51",39,117
"52",27,106
"55",36,104
"56",37,114
"61",25,110
"63",29,122
"66",37,120
"68",35,111
"71",34,118
"72",45,125
"73",25,103
"80",36,120
"83",30,120
"85",1,1
"88",38,114
"89",41,123
"95",25,119
"97",38,121
"100",32,117
"106",23,108
"110",41,110
"117",38,112
"128",31,117
"131",37,119
"132",40,117
"144",35,116
"146",28,114
"148",44,127
"150",28,120
"154",32,105
"156",33,117
"159",32,119
"170",25,104
"171",36,105
"174",27,108
"175",29,107
"179",25,105
"181",31,119
"184",28,115
"191",33,115
"195",33,111
"196",23,101
"203",44,81
"205",31,120
"211",28,111
"214",32,114
"228",24,116
"231",23,117
"236",36,115
"237",31,118
"249",34,119
"250",30,104
"251",28,121
"252",33,120
"266",27,113
"270",29,105
"275",29,121
"279",35,119
"280",35,113
"288",43,124
"294",42,127
"301",38,108
"303",32,121
"305",36,117
"316",35,112
"320",36,114
"327",36,119
"328",46,127
"332",37,112
"340",36,112
"344",32,118
"346",29,119
"362",27,107
"376",31,115
"377",48,127
"391",29,114
"392",25,114
"395",29,104
"402",43,129
"411",38,111
"414",34,117
"417",23,109
"419",25,108
"423",26,120
"443",44,125
"444",22,113
"459",29,106
"467",20,110
"474",24,107
"475",36,113
"482",22,111
"486",42,124
"496",34,108
"503",32,112
"506",6,81
"508",30,106
"514",28,116
"515",24,100
"520",29,120
"542",39,115
"546",37,117
"548",40,118
"552",24,117
"553",33,118
"559",27,104
"560",31,106
"584",23,115
"587",48,123
"606",28,102
"612",40,109
"616",19,110
"620",26,115
"626",25,117
"633",41,109
"635",34,113
"672",30,114
"673",33,119
"682",31,105
"686",38,116
"689",36,116
"691",24,110
"695",42,123
"703",17,96
"707",41,121
"723",40,97
"729",25,109
"730",37,121
"736",38,113
"742",31,111
"758",24,109
"782",24,115
"792",47,130
"793",27,111
"795",23,116
"803",35,120
"805",27,116
"808",39,112
"811",24,103
"821",27,118
"825",28,119
"828",24,118
"849",39,116
"867",30,115
"881",31,113
"888",24,113
"889",30,121
"895",32,113
"910",31,112
"918",28,106
"920",26,104
"930",40,119
"943",24,112
"946",29,113
"960",42,86
"976",40,112
"982",33,109
"983",32,106
"991",45,85
"994",37,118
"996",25,55
"1018",28,104
"1058",30,116
"1064",42,125
"1065",23,110
"1075",33,113
"1079",35,109
"1084",24,111
"1098",28,110
"1100",42,122
"1102",30,122
"1135",47,83
"1137",26,112
"1198",22,114
"1216",40,124
"1218",27,102
"1234",37,105
"1248",38,-102
"1251",22,112
"1346",40,99
"1364",28,112
"1371",37,113
"1374",28,107
"1381",47,131
"1389",30,105
"1415",35,110
"1425",37,102
"1431",39,110
"1439",23,111
"1440",40,113
"1466",32,122
"1476",29,118
"1515",39,106
"1536",44,129
"1542",29,112
"1547",46,126
"1615",37,115
"1619",22,110
"1626",25,116
"1627",31,108
"1635",41,115
"1653",40,120
"1662",26,107
"1665",37,116
"1682",46,125
"1750",44,122
"1797",38,119
"1813",30,109
"1825",26,100
"1843",52,122
"1845",37,110
"1869",46,131
"1875",29,117
"1885",36,118
"1932",36,108
"1944",41,122
"1958",26,102
"2001",30,112
"2070",30,108
"2095",26,110
"2153",26,117
"2203",34,104
"2248",22,107
"2288",26,113
"2297",27,114
"2315",28,100
"2319",46,-74
"2367",28,105
"2369",43,90
"2384",41,112
"2423",39,100
"2432",44,85
"2456",22,101
"2462",40,122
"2475",44,87
"2508",47,9
"2532",30,103
"2533",50,125
"2556",25,113
"2581",25,112
"2587",26,116
"2592",52,4
"2614",34,107
"2627",47,124
"2714",40,123
"2728",37,111
"2776",24,99
"2825",18,110
"2884",37,122
"2916",44,126
"2939",45,131
"3014",47,125
"3019",30,110
"3034",41,118
"3050",42,119
"3096",25,115
"3114",38,109
"3125",32,108
"3169",23,103
"3183",27,101
"3275",30,102
"3358",37,123
"3366",44,131
"3395",33,108
"3398",45,130
"3411",39,113
"3463",42,121
"3479",29,103
"3512",26,106
"3515",47,127
"3580",39,118
"3659",29,111
"3759",28,117
"3761",30,118
"3769",27,117
"3779",27,110
"3868",41,124
"3987",32,107
"4037",26,118
"4061",26,103
"4068",28,109
"4083",26,114
"4172",38,117
"4232",45,126
"4256",21,110
"4269",33,114
"4339",33,112
"4385",26,105
"4451",49,120
"4534",30,113
"4656",43,127
"4674",39,-77
"4797",51,123
"4799",31,107
"4834",35,105
"4861",33,107
"4878",21,111
"4892",27,112
"4893",39,119
"4894",38,105
"4931",29,115
"4951",38,107
"4962",46,123
"5030",43,125
"5049",41,114
"5052",42,120
"5094",34,110
"5126",39,102
"5205",46,132
"5268",42,118
"5277",25,102
"5292",32,116
"5327",33,116
"5404",40,110
"5418",25,111
"5564",32,109
"5665",22,109
"5691",41,117
"5757",37,104
"5789",35,107
"5805",35,104
"5827",29,110
"5858",19,98
"5868",25,99
"5871",34,115
"5951",39,114
"6127",43,126
"6156",7,80
"6184",47,129
"6210",37,97
"6292",42,116
"6304",37,103
"6326",34,120
"6330",43,123
"6357",38,106
"6397",32,111
"6417",34,106
"6418",43,121
"6445",28,108
"6489",42,114
"6510",38,118
"6534",40,111
"6591",29,108
"6740",34,112
"6788",27,100
"6891",29,109
"6924",42,126
"6999",26,108
"7065",32,110
"7126",35,108
"7670",44,89
"7673",31,109
"7700",47,128
"7749",41,113
"7806",40,98
"8031",24,108
"8108",50,127
"8114",21,109
"8386",30,91
"8630",30,111
"8741",32,115
"8749",30,119
"8761",24,104
"8891",26,111
"9041",45,128
"9190",41,107
"9231",31,103
"9280",36,109
"9428",46,122
"9532",25,106
"9702",41,126
"9837",36,103
"9872",33,105
"9878",23,105
"9990",39,121
"10055",30,117
"10235",40,115
"10241",45,87
"10261",45,127
"10264",45,123
"10598",35,106
"10686",19,-99
"11038",43,89
"11160",37,109
"11250",39,111
"11453",25,100
"11480",38,122
"11561",19,109
"11608",43,119
"11645",-9,115
"11816",38,120
"12081",44,82
"12082",37,106
"12199",27,119
"12236",40,95
"12282",32,104
"12378",27,121
"12599",44,86
"12690",29,48
"12755",46,85
"12784",27,109
"13091",38,103
"13161",51,124
"13162",41,119
"13287",43,-81
"13408",18,109
"13707",33,121
"14122",8,99
"14303",33,110
"14379",46,128
"14687",27,105
"15332",45,124
"15688",46,124
"15747",48,131
"15970",41,81
"16222",23,106
"16891",41,120
"16960",50,128
"17033",39,107
"17077",36,121
"17165",48,129
"17219",26,101
"17401",0,-180
"17949",23,107
"18161",43,93
"18334",50,117
"18336",36,106
"18581",48,126
"18610",47,126
"18869",36,95
"19237",41,86
"20850",36,107
"20889",45,118
"20891",49,118
"21400",48,88
"21846",22,108
"22785",-23,17
"23052",44,128
"23074",26,99
"23368",42,83
"23525",33,104
"23685",31,102
"23743",49,125
"24202",37,80
"24495",36,102
"24600",31,116
"24988",41,111
"25247",40,121
"25917",20,111
"25929",49,127
"25962",47,123
"26124",31,92
"26145",28,122
"26254",43,118
"27402",40,114
"27880",45,129
"28252",39,78
"28337",50,124
"28473",6,80
"28951",24,106
"29670",26,109
"29752",54,-2
"29964",31,110
"30386",42,128
"30773",43,113
"31447",42,84
"31615",22,99
"32406",42,109
"32479",51,7
"33329",43,122
"34210",22,100
"34633",25,120
"35199",46,130
"35509",15,121
"36048",34,111
"36840",-34,151
"37406",27,89
"37549",20,109
"38634",33,97
"39193",44,116
"40755",38,110
"41004",37,127
"41140",16,103
"41226",29,102
"41580",27,103
"42927",42,129
"42940",24,119
"42946",39,101
"43079",44,80
"43142",49,126
"43213",43,94
"43457",45,121
"44467",41,116
"44563",44,83
"45201",45,82
"45996",44,119
"46455",11,29
"46463",36,110
"47042",37,101
"47444",43,77
"48146",7,81
"48749",44,115
"49296",48,86
"53300",49,122
"53585",-32,116
"55039",14,101
"55868",39,76
"56622",44,124
"60167",45,116
"61195",32,92
"61260",8,81
"62155",41,125
"63296",8,98
"65286",45,83
"65499",24,121
"66383",46,133
"67827",17,99
"69910",43,82
"70086",41,108
"72683",24,102
"78130",13,104
"78161",25,98
"79892",41,87
"83138",25,122
"83600",2,104
"88897",43,115
"90056",49,121
"91936",42,87
"92185",43,117
"92248",40,125
"92920",46,129
"94457",-38,145
"97176",38,24
"97235",19,99
"97490",41,82
"101476",44,123
"103381",48,134
"105555",41,80
"105649",33,106
"106978",39,109
"107482",42,113
"110964",22,115
"113095",48,125
"118786",44,120
"119933",19,111
"120183",35,99
"121199",2,1
"124011",15,101
"126717",28,101
"128806",46,121
"129306",43,120
"130137",-20,57
"133027",21,102
"133460",50,118
"134102",21,106
"135963",3,102
"136303",23,99
"138491",48,128
"139086",27,90
"140818",25,101
"141275",32,39
"158594",23,102
"162499",37,126
"165230",35,129
"170228",22,92
"171649",40,96
"171752",44,121
"180951",41,83
"184747",21,101
"185851",13,78
"186785",1,104
"194783",39,123
"196288",45,89
"196882",34,105
"197456",48,124
"199154",34,100
"203212",45,120
"210201",30,123
"219047",45,132
"224377",36,140
"226229",43,128
"250351",30,94
"251873",60,30
"260229",0,1
"262468",42,117
"262799",42,115
"264311",25,121
"271807",44,112
"276424",50,121
"276634",14,100
"290226",50,14
"291479",43,88
"295490",41,95
"305964",-37,175
"306450",47,134
"311452",10,107
"322188",45,-102
"333051",38,77
"338774",38,123
"391217",20,-156
"408992",41,96
"422078",32,102
"440595",24,101
"442918",35,103
"459591",37,108
"500304",25,107
"509521",33,126
"512204",44,130
"519811",49,117
"524827",-38,143
"567448",44,26
"572397",38,102
"577605",43,-82
"590094",37,-122
"602633",50,126
"609254",-18,16
"618828",29,92
"691879",24,90
"695513",40,76
"733585",35,93
"733909",39,77
"743551",42,112
"755104",29,77
"773026",11,107
"819318",23,120
"845190",39,125
"859614",1,0
"864252",27,99
"870255",36,97
"872019",52,125
"944790",51,3
"973230",-29,115
"1001116",24,98
"1029912",48,122
"1041228",43,87
"1067299",30,92
"1105729",23,119
"1156193",10,100
"1187991",28,90
"1291533",46,116
"1318972",46,87
"1325598",40,-76
"1396464",36,139
"1477412",41,-74
"1525298",44,94
"1551613",45,86
"1922827",40,78
"2188520",44,118
"2224272",9,100
"2300080",44,84
"2382342",37,95
"2825338",46,120
"2880162",48,-122
"3180562",11,28
